,XLK,XLC,XLY,XLP,XLV,XLF,XLI,XLE,XLB,XLU,XLRE,MTUM,QUAL,USMV,SGOV,SHY,IEF,AGG,LQD,TIP,PDBC,DBP,CPER,DBA,REMX,SH,PSQ,IBIT,ETHA,SPY,QQQ,TLT,UUP,^VIX,GLD,SLV,SPHQ,SPLV,SPMO,VEA,VWO,RPV,SIZE,VBR,HYG,EMB
2023-06-26,82.17516326904297,61.47223663330078,79.85082244873047,68.5701904296875,125.36748504638672,31.265762329101562,99.9814224243164,36.02541732788086,38.137107849121094,30.1943302154541,33.38249206542969,136.78958129882812,127.46196746826172,69.63764190673828,87.96935272216797,72.94242095947266,87.67599487304688,88.24567413330078,94.76581573486328,99.35023498535156,12.162764549255371,44.31070327758789,23.3799991607666,19.07390022277832,78.42688751220703,49.770450592041016,46.95912551879883,,,416.719482421875,351.9281311035156,91.74049377441406,24.62958526611328,14.25,178.50999450683594,20.899999618530273,47.427371978759766,58.5615348815918,53.61314010620117,41.48933792114258,36.82974624633789,70.45614624023438,114.20387268066406,150.9026336669922,62.447837829589844,74.13143920898438
2023-06-27,83.79470825195312,62.50937271118164,81.56684112548828,68.77438354492188,125.08092498779297,31.514583587646484,101.18151092529297,36.10775375366211,38.67717742919922,30.20352554321289,33.746734619140625,138.84112548828125,129.18943786621094,70.08609771728516,87.97808837890625,72.83477020263672,87.36974334716797,88.07526397705078,94.66033172607422,99.0740737915039,11.968301773071289,44.15840530395508,23.3700008392334,18.878816604614254,79.12609100341797,49.246177673339844,46.141319274902344,,,421.2880859375,357.9792785644531,91.50102996826172,24.56870460510254,13.739999771118164,177.69000244140625,20.979999542236328,47.89111328125,58.74981689453125,53.789005279541016,41.82806396484375,37.17720031738281,71.61470031738281,115.78474426269531,153.2696075439453,62.65816116333008,74.13143920898438
2023-06-28,83.8437728881836,62.79046630859375,81.88951873779297,68.3103256225586,124.67972564697266,31.438024520874023,101.18151092529297,36.47372817993164,38.41187286376953,29.75753402709961,33.837791442871094,138.6261749267578,128.88858032226562,69.72351837158203,88.00434112548828,72.91553497314453,87.72100067138672,88.33538055419922,95.07343292236328,99.2765884399414,11.924104690551758,44.04193878173828,22.93000030517578,18.665996551513672,77.81387329101562,49.246177673339844,46.09828186035156,,,421.5005798339844,358.67779541015625,91.8912582397461,24.681764602661133,13.43000030517578,177.27999877929688,20.84000015258789,47.89111328125,58.232051849365234,53.72061538696289,41.83721923828125,37.03090286254883,71.77351379394531,115.7176742553711,153.32620239257812,63.01990509033203,74.1829605102539
2023-06-29,83.99102783203125,62.451210021972656,81.97749328613281,68.245361328125,125.49166107177734,31.983516693115234,102.1607666015625,36.89460372924805,38.89510726928711,29.75753402709961,34.14739227294922,139.1634979248047,129.46115112304688,70.20061492919922,88.0393295288086,72.73604583740234,86.82025146484375,87.65365600585938,94.35272216796875,98.62309265136719,11.932944297790527,43.93443298339844,22.75,18.559587478637695,78.15868377685547,49.036468505859375,46.141319274902344,,,423.1618957519531,357.9595947265625,90.23274993896484,24.7861270904541,13.539999961853027,177.08999633789062,20.719999313354492,48.18095779418945,58.6274299621582,54.19939041137695,41.78229522705078,36.87546920776367,72.08184814453125,116.67574310302734,155.35369873046875,62.85163116455078,73.78791809082031
2023-06-30,85.32592010498047,63.08124923706055,83.01885986328125,68.83936309814453,126.78112030029297,32.26105499267578,103.03443908691406,37.13248062133789,39.2598991394043,30.088584899902344,34.320404052734375,140.92198181152344,130.8877410888672,70.92581176757812,88.0393295288086,72.7629623413086,87.00944519042969,87.85995483398438,95.04707336425781,99.05567932128906,12.025754928588867,44.212158203125,23.200000762939453,18.683732986450195,79.65290069580078,48.51220703125,45.49568939208984,,,428.155517578125,363.4793701171875,91.29704284667969,24.681764602661133,13.59000015258789,178.27000427246094,20.889999389648438,48.74131393432617,59.12635040283203,54.658626556396484,42.276641845703125,37.19548797607422,72.45557403564453,117.59551239013672,155.97610473632812,63.15449905395508,74.32038116455078
2023-07-03,85.14434051513672,63.294498443603516,84.02108001708984,69.37767791748047,125.739990234375,32.44289016723633,103.05362701416016,37.21940612792969,39.40675735473633,30.313879013061523,34.59359359741211,140.43353271484375,130.7130889892578,70.84947204589844,88.08061981201172,72.67838287353516,86.63201141357422,87.75654602050781,94.78077697753906,98.93917083740234,12.03901481628418,44.32862091064453,23.34000015258789,18.89655113220215,81.02259063720703,48.47724914550781,45.36656188964844,,,428.6481628417969,364.3353271484375,90.77947998046875,24.707855224609375,13.56999969482422,178.47000122070312,21.010000228881836,48.68334197998047,59.22989273071289,54.67816925048828,42.349884033203125,37.561222076416016,72.98812103271484,118.06498718261719,156.89085388183594,63.055545806884766,74.4635009765625
2023-07-05,84.61920166015625,63.77914810180664,84.05530548095703,69.25701141357422,125.67313385009766,32.37590789794922,102.4968032836914,37.0135498046875,38.4355583190918,30.65871810913086,34.7666015625,140.0623016357422,130.5966033935547,70.7349624633789,88.08941650390625,72.6603775024414,86.2166976928711,87.36083984375,94.10181427001953,98.46754455566406,12.109728813171387,44.27486801147461,23.170000076293945,18.8344783782959,81.6834945678711,48.54716110229492,45.40960693359375,,,428.01068115234375,364.3255615234375,89.91685485839844,24.8209171295166,14.18000030517578,177.83999633789062,21.209999084472656,48.567405700683594,59.26755905151367,54.443668365478516,41.89214324951172,37.37834930419922,72.60504913330078,117.47096252441406,155.2593994140625,62.86101150512695,74.08409881591797
2023-07-06,84.39346313476562,63.27510070800781,82.70108795166016,69.0806655883789,124.67019653320312,32.09836196899414,101.7287368774414,36.18095016479492,38.15604782104492,30.28629493713379,34.57537078857422,138.63600158691406,129.56790161132812,70.36283874511719,88.12454986572266,72.61540985107422,85.51243591308594,86.79425811767578,93.1495132446289,97.94966888427734,12.100889205932617,44.01506423950195,23.11000061035156,18.816741943359375,79.32723999023438,48.93162536621094,45.75394058227539,,,424.6590576171875,361.55084228515625,88.64515686035156,24.76003646850586,15.4399995803833,177.30999755859375,20.829999923706055,48.13264465332031,58.985145568847656,53.867183685302734,41.150611877441406,36.665164947509766,72.05381774902344,116.36917114257812,153.47706604003906,62.404266357421875,73.02355194091797
2023-07-07,84.02538299560547,63.05217742919922,82.8037338256836,68.1803970336914,123.21832275390625,32.14621353149414,101.95915985107422,36.958641052246094,38.48767852783203,30.06558609008789,34.41147232055664,138.0986785888672,128.96621704101562,69.95252227783203,88.13330841064453,72.6963882446289,85.40410614013672,86.81226348876953,93.06134033203125,97.88494110107422,12.189281463623047,44.45404815673828,23.309999465942383,18.763538360595703,80.94596862792969,49.106380462646484,45.969146728515625,,,423.5869140625,360.3504333496094,88.111572265625,24.551313400268555,14.829999923706056,178.63999938964844,21.18000030517578,47.94908905029297,58.53330993652344,53.68153381347656,41.49848937988281,37.10404968261719,72.57704162597656,116.82904815673828,155.09912109375,62.46346664428711,72.93733978271484
2023-07-10,84.24622344970703,62.887386322021484,83.05796813964844,68.16181182861328,124.1926040649414,32.28977584838867,103.40885925292969,37.24684524536133,38.478206634521484,29.93684959411621,34.52984619140625,139.61288452148438,129.80079650878906,70.24832153320312,88.14212036132812,72.8043441772461,85.84648132324219,87.0550765991211,93.54631042480469,98.11614227294922,12.215799331665039,44.445091247558594,23.40999984741211,18.781272888183594,81.79843139648438,48.96656799316406,45.92610931396485,,,424.6590576171875,360.4685363769531,88.22718048095703,24.490432739257812,15.06999969482422,178.77999877929688,21.239999771118164,48.27756881713867,58.54271697998047,54.062599182128906,41.60834884643555,37.11319351196289,73.07221221923828,118.13204193115234,156.7776641845703,62.776424407958984,73.24775695800781
